DOEID,REGIONC,DIVISION,TOTROOMS,TOTSQFT_EN,TOTHSQFT,TOTCSQFT,KWH,BTUEL,DOLLAREL,CLIMATE_REGION_PUB,TEMPHOME,TEMPGONE,TEMPNITE,NHSLDMEM,ATHOME,ENERGYASST,MONEYPY,BTUEL_TOTALS,EL_TOTALS
10001,4,10,7,1808,1808,1808,5270.742,17983.771,967.23,Hot-Dry/Mixed-Dry,69,69,60,4,0,0,8,11525.098,2
10002,3,7,4,759,759,759,12173.0,41534.0,1366.0,Hot-Humid,75,70,72,2,1,0,2,29777.38,5
10003,3,6,9,2288,1430,1716,19655.394,67064.204,2428.08,Mixed-Humid,70,70,68,4,5,0,2,43371.958,4
10004,2,4,7,2573,2573,2573,9852.535,33616.851,1313.12,Mixed-Humid,68,65,65,1,3,0,3,22415.503,4
10005,1,2,6,1024,933,933,3115.655,10630.615,581.07,Cold/Very Cold,68,62,66,3,0,0,3,3200.284,2
10006,1,1,1,623,623,623,2777.0,9475.0,494.0,Cold/Very Cold,70,66,70,1,3,0,1,1311.8049999999998,3
10007,3,5,4,832,832,832,2397.758,8181.149,371.61,Hot-Humid,73,70,72,1,0,0,4,4790.812,3
10008,2,3,5,2682,894,358,13890.899,47395.746,1737.17,Cold/Very Cold,66,62,64,2,5,1,3,10472.205,3
10009,1,2,9,1900,1900,1900,10422.424,35561.312,1531.91,Cold/Very Cold,70,70,70,4,5,0,5,20839.747000000003,4
10010,3,7,6,1230,1230,1230,18505.802,63141.798,1973.72,Hot-Humid,70,70,65,4,5,0,6,44767.672999999995,5
10011,1,1,5,2139,1426,285,2469.205,8424.926,568.07,Cold/Very Cold,65,65,65,1,0,0,3,3486.952,4
10012,2,4,4,600,600,0,11065.529,37755.586,1034.54,Mixed-Humid,70,64,68,1,5,0,1,31698.692000000003,2
10013,3,6,5,1884,1884,1884,14766.758,50384.179,1844.84,Hot-Humid,69,50,65,1,5,0,2,37225.551999999996,5
10014,2,3,4,782,782,196,6750.579,23032.974,969.8,Cold/Very Cold,66,55,55,2,0,0,2,17594.256999999998,4
10015,4,8,10,4308,3380,3380,16585.761,56590.618,2037.0,Cold/Very Cold,70,60,60,5,1,0,6,20863.236,4
10016,3,7,6,1597,1597,1597,20554.014,70130.297,1886.68,Hot-Humid,60,60,66,5,5,0,7,51137.11,5
10017,3,5,6,924,924,924,11924.0,40685.0,1562.0,Mixed-Humid,73,73,73,2,5,0,2,25017.004999999997,3
10018,1,2,5,1222,1222,0,2297.369,7838.623,493.79,Cold/Very Cold,69,65,65,6,0,0,3,4419.23,1
10019,4,10,5,1664,1664,1664,4732.068,16145.815,638.81,Marine,70,70,60,2,5,0,4,8919.064,4
10020,3,5,5,2800,1750,560,8973.455,30617.427,1299.88,Mixed-Humid,68,68,68,3,5,0,6,11829.354,3
10021,4,10,7,3008,1504,0,3677.314,12546.996,652.99,Marine,72,62,68,2,2,0,6,3580.5460000000003,2
10022,3,5,8,2019,1346,505,16276.03,55533.815,1353.22,Mixed-Humid,75,75,70,4,5,0,3,13264.719,2
10023,2,3,9,2979,2979,1522,5523.941,18847.687,775.36,Cold/Very Cold,72,69,70,2,5,0,2,7463.933,2
